latitude,longitude,altitude,geometry,coordinates,@id,leisure,foot,highway,addr:city,addr:country,addr:housenumber,addr:postcode,addr:state,addr:street,amenity,building,ele,gnis:county_id,gnis:created,gnis:feature_id,gnis:state_id,name,School System_1,building:levels,phone,website,wheelchair,operator,smoking,fax,access,grades,operator:type,religion,wikidata,amenity_1
,,,Polygon,"-86.8251592,40.5091508,-86.8252128,40.5090733,-86.8252236,40.5089836,-86.8251699,40.5088775,-86.8250787,40.5088204,-86.8249875,40.5088123,-86.8247944,40.5088204,-86.8247789,40.5088331,-86.8247247,40.5088775,-86.824671,40.5089713,-86.8246871,40.5090774,-86.8247676,40.5091793,-86.8249017,40.5092038,-86.8250197,40.5092079,-86.8251592,40.5091508",way/246254868,playground,,,,,,,,,,,,,,,,Prophetstown state park,,,,,,,,,,,,,,
,,,Polygon,"-86.8235445,40.5049701,-86.8235928,40.5048967,-86.8235713,40.5047988,-86.8234748,40.504758,-86.8233782,40.5047784,-86.8233031,40.5048478,-86.8233246,40.5049253,-86.8233471,40.5049413,-86.8234104,40.5049864,-86.8235445,40.5049701",way/246254965,playground,,,,,,,,,,,,,,,,Prophetstown state park,,,,,,,,,,,,,,
,,,Polygon,"-86.8173961,40.5077469,-86.817459,40.5076912,-86.8174934,40.5076225,-86.817495,40.507549,-86.8174638,40.5074794,-86.8174034,40.5074221,-86.8173209,40.5073837,-86.8172263,40.5073689,-86.8171306,40.5073793,-86.8170452,40.5074139,-86.8169804,40.5074684,-86.8169437,40.5075363,-86.8169395,40.5076098,-86.8169624,40.5076705,-86.8170076,40.5077235,-86.8170713,40.5077641,-86.8171478,40.5077888,-86.8172304,40.5077953,-86.8173119,40.5077831,-86.8173961,40.5077469",way/246254970,playground,yes,path,,,,,,,,,,,,,,Prophetstown state park,,,,,,,,,,,,,,
,,,Polygon,"-86.8698948,40.434498,-86.8700355,40.4344261,-86.8700411,40.4343852,-86.8700207,40.4343485,-86.8699559,40.4343104,-86.8698985,40.4342879,-86.869791,40.4343203,-86.8697503,40.4343499,-86.8697429,40.4343922,-86.8697836,40.4344275,-86.8698392,40.4344853,-86.8698948,40.434498",way/257177655,playground,,,,,,,,,,,,,,,,Alrington Park,,,,,,,,,,,,,,
,,,Polygon,"-86.8784404,40.3590307,-86.8784404,40.3589173,-86.8783864,40.3588973,-86.878328,40.3588962,-86.8782901,40.3589073,-86.8782872,40.3590296,-86.8784404,40.3590307",way/264468167,playground,,,,,,,,,,,,,,,,Homerton Park,,,,,,,,,,,,,,
,,,Polygon,"-86.8784258,40.3605877,-86.8784608,40.3605543,-86.8784594,40.3604598,-86.8782974,40.3604586,-86.878293,40.360551,-86.8783324,40.3605877,-86.8784258,40.3605877",way/264468169,playground,,,,,,,,,,,,,,,,Homerton Park,,,,,,,,,,,,,,
,,,Polygon,"-86.8055992,40.422483,-86.8055106,40.4224031,-86.8053847,40.4224901,-86.8053217,40.4224688,-86.8052285,40.4225292,-86.8053521,40.422641,-86.8055992,40.422483",way/264517608,playground,,,,,,,,,,,,,,,,Goldersgreen Park,,,,,,,,,,,,,,
,,,Polygon,"-86.8836962,40.4177419,-86.8836991,40.4176285,-86.8836462,40.4176267,-86.8836488,40.4175221,-86.8835744,40.4175195,-86.8835742,40.417525,-86.8833451,40.4175169,-86.883345,40.4175103,-86.8832583,40.4175073,-86.8832604,40.4176307,-86.8832282,40.417631,-86.8832289,40.4176735,-86.8831099,40.4176747,-86.8831081,40.4175734,-86.8832303,40.4175722,-86.8832293,40.4175123,-86.8831892,40.4175127,-86.8831883,40.4174618,-86.8829723,40.4174639,-86.8829762,40.4176863,-86.882983,40.4176862,-86.8829845,40.4177779,-86.8832629,40.417775,-86.8832621,40.4177327,-86.8836962,40.4177419",way/283530867,,,,Lafayette,US,1200,47901,IN,South Street,school,school,187,157,10/1/1982,442716,18,Saint Mary Cathedral School,,,,,,,,,,,,,,
,,,Polygon,"-86.8926474,40.4246059,-86.8928392,40.4246029,-86.8928689,40.4245668,-86.8928689,40.4245171,-86.8929381,40.4244931,-86.8929638,40.4244479,-86.8929677,40.4244013,-86.892683,40.4244028,-86.892681,40.4244765,-86.8926158,40.4244765,-86.8926158,40.4244615,-86.8925565,40.42446,-86.8925585,40.4245337,-86.8925861,40.4245367,-86.8925901,40.4245593,-86.8926455,40.4245608,-86.8926474,40.4246059",way/283537177,,,,,,,,,,bar,yes,,,,,,The Pub,,,,,,,,,,,,,,
,,,Polygon,"-86.7921976,40.4103459,-86.7921843,40.4075955,-86.7919285,40.4075955,-86.7895668,40.4075961,-86.7895942,40.4103514,-86.7921976,40.4103459",way/299788474,,,,Lafayette,,5865,47905,,East 50 South,school,,,,,,,Wyandotte Elementary School,Tippecanoe School Corporation,K through 5,1-765-772-7000,https://wye.tsc.k12.in.us/,yes,,,,,,,,,
