id,bpm,timestamp,human_readable
1,54.0,1617462647,04/03/2021 11:10:47
2,84.0,1617462647,04/03/2021 11:10:47
3,69.0,1617462656,04/03/2021 11:10:56
4,68.0,1617462659,04/03/2021 11:10:59
5,68.0,1617462661,04/03/2021 11:11:01
6,70.0,1617462664,04/03/2021 11:11:04
7,71.0,1617462665,04/03/2021 11:11:05
8,71.0,1617462666,04/03/2021 11:11:06
9,71.0,1617462667,04/03/2021 11:11:07
10,73.0,1617462669,04/03/2021 11:11:09
11,76.0,1617462670,04/03/2021 11:11:10
12,77.0,1617462671,04/03/2021 11:11:11
13,78.0,1617462675,04/03/2021 11:11:15
14,78.0,1617462677,04/03/2021 11:11:17
15,79.0,1617462685,04/03/2021 11:11:25
16,79.0,1617462690,04/03/2021 11:11:30
17,79.0,1617462692,04/03/2021 11:11:32
18,78.0,1617462693,04/03/2021 11:11:33
19,77.0,1617462698,04/03/2021 11:11:38
20,76.0,1617462699,04/03/2021 11:11:39
21,77.0,1617462712,04/03/2021 11:11:52
22,78.0,1617462715,04/03/2021 11:11:55
23,78.0,1617462718,04/03/2021 11:11:58
24,77.0,1617462719,04/03/2021 11:11:59
25,78.0,1617462721,04/03/2021 11:12:01
26,78.0,1617462722,04/03/2021 11:12:02
27,79.0,1617462723,04/03/2021 11:12:03
28,80.0,1617462727,04/03/2021 11:12:07
29,81.0,1617462728,04/03/2021 11:12:08
30,81.0,1617462729,04/03/2021 11:12:09
31,81.0,1617462730,04/03/2021 11:12:10
32,81.0,1617462734,04/03/2021 11:12:14
33,83.0,1617462738,04/03/2021 11:12:18
34,82.0,1617462739,04/03/2021 11:12:19
35,81.0,1617462743,04/03/2021 11:12:23
36,81.0,1617462744,04/03/2021 11:12:24
37,80.0,1617462745,04/03/2021 11:12:25
38,80.0,1617462747,04/03/2021 11:12:27
39,80.0,1617462749,04/03/2021 11:12:29
40,79.0,1617462750,04/03/2021 11:12:30
41,80.0,1617462756,04/03/2021 11:12:36
42,81.0,1617462757,04/03/2021 11:12:37
43,80.0,1617462765,04/03/2021 11:12:45
44,79.0,1617462767,04/03/2021 11:12:47
45,78.0,1617462768,04/03/2021 11:12:48
46,79.0,1617462779,04/03/2021 11:12:59
47,78.0,1617462780,04/03/2021 11:13:00
48,78.0,1617462782,04/03/2021 11:13:02
49,78.0,1617462783,04/03/2021 11:13:03
50,79.0,1617462787,04/03/2021 11:13:07
51,78.0,1617462788,04/03/2021 11:13:08
52,78.0,1617462794,04/03/2021 11:13:14
53,78.0,1617462795,04/03/2021 11:13:15
54,78.0,1617462796,04/03/2021 11:13:16
55,79.0,1617462797,04/03/2021 11:13:17
56,81.0,1617462799,04/03/2021 11:13:19
57,82.0,1617462800,04/03/2021 11:13:20
